Event ID,Season,MatchDay,Year,Month,Day,Date,Home Team,Away Team,Home Score,Away Score,Home ML,Draw ML,Away ML,,,
,CL25,16,2025,4,16,4/16/25,QRO,ATLX,1,2,230,230,115,,,
,CL25,16,2025,4,16,4/16/25,MTY,AME,1,0,170,235,155,,,
,CL25,17,2025,4,18,4/18/25,PUE,NEC,0,1,330,280,-130,,,
,CL25,17,2025,4,19,4/19/25,TOL,CAZ,2,2,115,245,220,,,
,CL25,17,2025,4,19,4/19/25,AME,MAZ,5,0,-360,450,900,,,
,CL25,17,2025,4,19,4/19/25,TIG,PUM,2,1,105,235,265,,,
,CL25,17,2025,4,19,4/19/25,JUA,QRO,0,2,-160,300,425,,,
,CL25,17,2025,4,19,4/19/25,ATLX,GDL,1,1,230,220,120,,,
,CL25,17,2025,4,20,4/20/25,ASL,PAC,2,1,380,350,-170,,,
,CL25,17,2025,4,20,4/20/25,SAN,TIJ,0,4,140,295,155,,,
,CL25,17,2025,4,20,4/20/25,LEO,MTY,0,2,155,250,155,,,
,CL25,18,2025,4,25,4/25/25,JUA,PUM,1,1,155,220,175,,,
,CL25,18,2025,4,25,4/25/25,MTY,PAC,1,2,100,255,265,,,
,CL25,19,2025,5,4,5/4/25,MTY,PUM,2,0,-125,255,350,,,
,CL25,20,2025,5,8,5/8/25,NEC,TIG,0,0,165,225,165,,,
,CL25,20,2025,5,8,5/8/25,MTY,TOL,3,2,125,240,260,2.25,3.4,3.6
,CL25,20,2025,5,8,5/8/25,PAC,AME,0,0,217,226,155,3.17,3.26,2.55
,CL25,20,2025,5,8,5/8/25,LEO,CAZ,2,3,272,230,126,3.72,3.3,2.26
,CL25,21,2025,5,10,5/10/25,AME,PAC,2,0,-120,260,320,,,
,CL25,21,2025,5,10,5/10/25,TOL,MTY,2,1,-180,320,450,,,
,CL25,21,2025,5,11,5/11/25,CAZ,LEO,2,1,-140,290,360,,,
,CL25,21,2025,5,11,5/11/25,TIG,NEC,2,2,-110,260,280,,,
